substrate,Sterimol_L,Sterimol_B1,Sterimol_B5,SASA_Area,SASA_Volume,Disp_int,Disp_Volume,Disp_Area,XTB_ip,XTB_ea,XTB_HOMO,XTB_LUMO,XTB_Dipol_1,XTB_Dipole_2,XTB_Dipole_3,XTB_Electrophilicity,XTB_Nucleophilicity
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],8.680553637614185,1.9886997356807008,4.593523509923282,349.9510235315765,525.0962873348202,18.21814518673521,221.90599526321472,230.87226972071448,12.899662270697528,4.850514029999781,-0.3796149826681256,-0.2715861462329025,0.5155907546793679,1.633594620749621,0.2582177099002127,1.0084018108400947,-8.053662270697528
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],8.680553757773687,1.9876430064212989,4.593523893509737,349.7310184870102,524.8877875032958,18.12163681979616,218.62852371828464,226.8740120931208,12.89966235064869,4.850514291112135,-0.3796150498713545,-0.2715862221522567,-0.03349231321359,1.610353875680972,0.6377810409301842,1.008401918897589,-8.05366235064869
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],8.680553740900292,1.988723438603476,4.593523126321738,350.04103291503134,525.1981619636058,18.19147365685685,221.25423260348364,230.27353192028065,12.899662494656608,4.850514166705891,-0.3796149982261407,-0.2715861470318887,0.8161369655313488,1.4561404990548503,0.4633683325902011,1.008401890176424,-8.053662494656608
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],8.680553694496217,1.9876299210674309,4.593523885161337,349.70102302593097,524.8405826150458,18.154782438158737,219.3992405411203,228.17378026068616,12.899662343044874,4.850513992819246,-0.3796149785858562,-0.2715861212962635,-1.0122149380858918,-1.4056895832449905,-0.0245815575307359,1.0084018059199436,-8.053662343044873
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],8.680553614862138,1.9878563779584917,4.593524152432486,349.8810259502237,525.0840790859443,18.15335714892843,219.8909068482658,228.6738793723168,12.899662243869646,4.85051404895393,-0.3796149885115733,-0.2715861274617883,0.4910354798379148,1.64996548244366,-0.1940143419153519,1.008401814605052,-8.053662243869645
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],8.680553771091196,1.987731163591086,4.593523621234027,349.9010240564746,525.200075952457,18.172428756165488,219.61534537852205,228.6731719559073,12.899662369900016,4.850514003062271,-0.3796150032142019,-0.2715861780768086,1.2309635486547212,1.170450206261319,0.3404630670610244,1.0084018131237131,-8.053662369900017
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],8.68055376263025,1.989148245566928,4.593522833836438,349.98103136340046,525.0969497565596,18.149195245026483,220.02166387408636,228.27356369210423,12.899662398902104,4.8505140526907775,-0.3796149866058793,-0.2715861463415017,0.5350590193771252,1.6247217859710783,-0.2741029932115326,1.0084018353874995,-8.053662398902103
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],8.680553722968131,1.9880668211903392,4.59352357769166,349.57101679046696,524.5581158497653,18.14739139395786,219.7943813987718,228.5737620963573,12.899662348458245,4.850513993773228,-0.3796149824312004,-0.2715861274751094,-1.054019596365316,1.3730452602188123,0.0702473880706981,1.0084018069548932,-8.053662348458245
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,8.680727917714893,2.0074371386715497,8.042142245533334,453.2920170715424,717.3159171984254,19.75156540412581,313.0724072346915,314.4486717265055,12.58264945724572,5.0198115436662105,-0.3799880160248307,-0.2717893176324946,-0.3925842381081419,1.6673151849295955,-0.0279180259874392,1.0342578070890371,-7.73664945724572
[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6]([CH3:7])[cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14],7.838275268185313,1.904433084068489,6.820977934026876,378.60099519823245,574.0280745349672,18.236889025020087,245.4934053929595,253.9735963102524,12.61804524109924,4.806087055880526,-0.3738976079472182,-0.2684688326569998,1.9742324664248936,-0.0622787687436514,0.2930079124278011,0.9566402629228188,-7.772045241099239
