substrate,product,mapped_reaction,hydrogenated_atoms
[CH3:1][O:2][c:3]1[cH:4][cH:5][c:8](-[c:9]2[cH:17][c:16]3[cH:15][cH:14][cH:13][cH:12][c:11]3[o:10]2)[cH:7][cH:6]1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:8]([C@H:9]2[O:10][c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]3[CH2:17]2)[cH:7][cH:6]1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:8](-[c:9]2[cH:17][c:16]3[cH:15][cH:14][cH:13][cH:12][c:11]3[o:10]2)[cH:7][cH:6]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:8]([C@H:9]2[O:10][c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]3[CH2:17]2)[cH:7][cH:6]1,"[9, 17]"
[F:1][C:2]([c:3]1[cH:4][cH:5][c:8](-[c:9]2[cH:17][c:16]3[cH:15][cH:14][cH:13][cH:12][c:11]3[o:10]2)[cH:7][cH:6]1)([F:18])[F:19],[F:1][C:2]([c:3]1[cH:4][cH:5][c:8]([C@H:9]2[O:10][c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]3[CH2:17]2)[cH:7][cH:6]1)([F:18])[F:19],[F:1][C:2]([c:3]1[cH:4][cH:5][c:8](-[c:9]2[cH:17][c:16]3[cH:15][cH:14][cH:13][cH:12][c:11]3[o:10]2)[cH:7][cH:6]1)([F:18])[F:19]>>[F:1][C:2]([c:3]1[cH:4][cH:5][c:8]([C@H:9]2[O:10][c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]3[CH2:17]2)[cH:7][cH:6]1)([F:18])[F:19],"[9, 17]"
[F:1][c:2]1[cH:3][cH:4][c:7](-[c:8]2[cH:16][c:15]3[cH:14][cH:13][cH:12][cH:11][c:10]3[o:9]2)[cH:6][cH:5]1,[F:1][c:2]1[cH:3][cH:4][c:7]([C@H:8]2[O:9][c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[CH2:16]2)[cH:6][cH:5]1,[F:1][c:2]1[cH:3][cH:4][c:7](-[c:8]2[cH:16][c:15]3[cH:14][cH:13][cH:12][cH:11][c:10]3[o:9]2)[cH:6][cH:5]1>>[F:1][c:2]1[cH:3][cH:4][c:7]([C@H:8]2[O:9][c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[CH2:16]2)[cH:6][cH:5]1,"[8, 16]"
[CH3:1][c:2]1[cH:10][c:9]2[cH:8][cH:7][cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[CH2:10]1,[CH3:1][c:2]1[cH:10][c:9]2[cH:8][cH:7][cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[CH2:10]1,"[2, 10]"
[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[cH:13][c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]2[o:6]1,[CH3:1][CH2:2][CH2:3][CH2:4][C@H:5]1[O:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13]1,[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[cH:13][c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]2[o:6]1>>[CH3:1][CH2:2][CH2:3][CH2:4][C@H:5]1[O:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13]1,"[5, 13]"
[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][c:11]1[cH:19][c:18]2[cH:17][cH:16][cH:15][cH:14][c:13]2[o:12]1,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][C@@H:11]1[O:12][c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]2[CH2:19]1,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][c:11]1[cH:19][c:18]2[cH:17][cH:16][cH:15][cH:14][c:13]2[o:12]1>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][C@@H:11]1[O:12][c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]2[CH2:19]1,"[11, 19]"
[CH3:1][CH:2]([CH3:3])[c:4]1[cH:12][c:11]2[cH:10][cH:9][cH:8][cH:7][c:6]2[o:5]1,[CH3:1][CH:2]([CH3:3])[C@H:4]1[O:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[CH2:12]1,[CH3:1][CH:2]([CH3:3])[c:4]1[cH:12][c:11]2[cH:10][cH:9][cH:8][cH:7][c:6]2[o:5]1>>[CH3:1][CH:2]([CH3:3])[C@H:4]1[O:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[CH2:12]1,"[4, 12]"
[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:13][c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]2[o:6]1,[CH3:1][C:2]([CH3:3])([CH3:4])[C@H:5]1[O:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13]1,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:13][c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]2[o:6]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[C@H:5]1[O:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13]1,"[5, 13]"
[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[o:16]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[O:16]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[o:16]2>>[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[O:16]2,"[7, 8]"
[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2>>[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,"[7, 8]"
[CH3:1][c:2]1[cH:3][o:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]12,[CH3:1][C@H:2]1[CH2:3][O:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]21,[CH3:1][c:2]1[cH:3][o:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]12>>[CH3:1][C@H:2]1[CH2:3][O:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]21,"[2, 3]"
[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[n:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[n:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[n:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2>>[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[n:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,"[7, 8]"
[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][n:11][cH:12][cH:13][cH:14]1)[o:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[cH:10][n:11][cH:12][cH:13][cH:14]1)[O:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][n:11][cH:12][cH:13][cH:14]1)[o:15]2>>[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[cH:10][n:11][cH:12][cH:13][cH:14]1)[O:15]2,"[7, 8]"
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[o:13]1,[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[O:13]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[o:13]1>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[O:13]1,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([O:10][CH3:11])[cH:12][cH:13]2)[o:14]1,[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][c:9]([O:10][CH3:11])[cH:12][cH:13]2)[O:14]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([O:10][CH3:11])[cH:12][cH:13]2)[o:14]1>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][c:9]([O:10][CH3:11])[cH:12][cH:13]2)[O:14]1,"[2, 3, 4, 5]"
[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([O:13][CH3:14])[cH:15][cH:16]2)[o:17]1,[CH3:1][CH2:2][CH2:3][CH2:4][C@@H:5]1[CH2:6][CH2:7][C@H:8]([c:9]2[cH:10][cH:11][c:12]([O:13][CH3:14])[cH:15][cH:16]2)[O:17]1,[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([O:13][CH3:14])[cH:15][cH:16]2)[o:17]1>>[CH3:1][CH2:2][CH2:3][CH2:4][C@@H:5]1[CH2:6][CH2:7][C@H:8]([c:9]2[cH:10][cH:11][c:12]([O:13][CH3:14])[cH:15][cH:16]2)[O:17]1,"[5, 6, 7, 8]"
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][c:8]([O:9][CH3:10])[cH:11][c:12]([O:13][CH3:14])[cH:15]2)[o:16]1,[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][c:8]([O:9][CH3:10])[cH:11][c:12]([O:13][CH3:14])[cH:15]2)[O:16]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][c:8]([O:9][CH3:10])[cH:11][c:12]([O:13][CH3:14])[cH:15]2)[o:16]1>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][c:8]([O:9][CH3:10])[cH:11][c:12]([O:13][CH3:14])[cH:15]2)[O:16]1,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][c:8]([O:9][CH3:10])[c:11]([O:12][CH3:13])[c:14]([O:15][CH3:16])[cH:17]2)[o:18]1,[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][c:8]([O:9][CH3:10])[c:11]([O:12][CH3:13])[c:14]([O:15][CH3:16])[cH:17]2)[O:18]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][c:8]([O:9][CH3:10])[c:11]([O:12][CH3:13])[c:14]([O:15][CH3:16])[cH:17]2)[o:18]1>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][c:8]([O:9][CH3:10])[c:11]([O:12][CH3:13])[c:14]([O:15][CH3:16])[cH:17]2)[O:18]1,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([N:10]([CH3:11])[CH3:12])[cH:13][cH:14]2)[o:15]1,[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][c:9]([N:10]([CH3:11])[CH3:12])[cH:13][cH:14]2)[O:15]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([N:10]([CH3:11])[CH3:12])[cH:13][cH:14]2)[o:15]1>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][c:9]([N:10]([CH3:11])[CH3:12])[cH:13][cH:14]2)[O:15]1,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][c:10]([CH3:11])[cH:12]2)[o:13]1,[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][cH:9][c:10]([CH3:11])[cH:12]2)[O:13]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][c:10]([CH3:11])[cH:12]2)[o:13]1>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][cH:9][c:10]([CH3:11])[cH:12]2)[O:13]1,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([CH3:10])[cH:11][cH:12]2)[o:13]1,[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][c:9]([CH3:10])[cH:11][cH:12]2)[O:13]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([CH3:10])[cH:11][cH:12]2)[o:13]1>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][c:9]([CH3:10])[cH:11][cH:12]2)[O:13]1,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][c:10]([F:11])[cH:12]2)[o:13]1,[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][cH:9][c:10]([F:11])[cH:12]2)[O:13]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][c:10]([F:11])[cH:12]2)[o:13]1>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][cH:9][c:10]([F:11])[cH:12]2)[O:13]1,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]3[c:10]([cH:11][cH:12][cH:13][cH:14]3)[cH:15]2)[o:16]1,[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][c:9]3[c:10]([cH:11][cH:12][cH:13][cH:14]3)[cH:15]2)[O:16]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]3[c:10]([cH:11][cH:12][cH:13][cH:14]3)[cH:15]2)[o:16]1>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][c:9]3[c:10]([cH:11][cH:12][cH:13][cH:14]3)[cH:15]2)[O:16]1,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[o:12]1,[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[O:12]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[o:12]1>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[O:12]1,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14][cH:15]2)[o:16]1,[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14][cH:15]2)[O:16]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14][cH:15]2)[o:16]1>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14][cH:15]2)[O:16]1,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]2)[o:20]1,[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]2)[O:20]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]2)[o:20]1>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]([c:6]2[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]2)[O:20]1,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:6][c:5](-[c:7]2[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]2)[cH:4][o:3]1,[CH3:1][C@H:2]1[O:3][CH2:4][C@@H:5]([c:7]2[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]2)[CH2:6]1,[CH3:1][c:2]1[cH:6][c:5](-[c:7]2[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]2)[cH:4][o:3]1>>[CH3:1][C@H:2]1[O:3][CH2:4][C@@H:5]([c:7]2[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]2)[CH2:6]1,"[2, 6, 5, 4]"
[CH3:1][c:2]1[cH:6][c:5](-[c:7]2[c:8]([F:9])[cH:10][cH:11][cH:12][cH:13]2)[cH:4][o:3]1,[CH3:1][C@H:2]1[O:3][CH2:4][C@@H:5]([c:7]2[c:8]([F:9])[cH:10][cH:11][cH:12][cH:13]2)[CH2:6]1,[CH3:1][c:2]1[cH:6][c:5](-[c:7]2[c:8]([F:9])[cH:10][cH:11][cH:12][cH:13]2)[cH:4][o:3]1>>[CH3:1][C@H:2]1[O:3][CH2:4][C@@H:5]([c:7]2[c:8]([F:9])[cH:10][cH:11][cH:12][cH:13]2)[CH2:6]1,"[2, 6, 5, 4]"
[CH3:1][c:2]1[cH:6][c:5](-[c:7]2[cH:13][cH:12][c:10]([CH3:11])[cH:9][cH:8]2)[cH:4][o:3]1,[CH3:1][C@H:2]1[O:3][CH2:4][C@@H:5]([c:7]2[cH:8][cH:9][c:10]([CH3:11])[cH:12][cH:13]2)[CH2:6]1,[CH3:1][c:2]1[cH:6][c:5](-[c:7]2[cH:13][cH:12][c:10]([CH3:11])[cH:9][cH:8]2)[cH:4][o:3]1>>[CH3:1][C@H:2]1[O:3][CH2:4][C@@H:5]([c:7]2[cH:8][cH:9][c:10]([CH3:11])[cH:12][cH:13]2)[CH2:6]1,"[2, 6, 5, 4]"
[CH3:1][c:2]1[cH:6][c:5](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:4][o:3]1,[CH3:1][C@H:2]1[O:3][CH2:4][C@@H:5]([c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[CH2:6]1,[CH3:1][c:2]1[cH:6][c:5](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:4][o:3]1>>[CH3:1][C@H:2]1[O:3][CH2:4][C@@H:5]([c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[CH2:6]1,"[2, 6, 5, 4]"
[CH3:1][c:2]1[cH:6][c:5](-[c:7]2[cH:8][cH:9][c:10]([O:11][CH3:12])[cH:13][cH:14]2)[cH:4][o:3]1,[CH3:1][C@H:2]1[O:3][CH2:4][C@@H:5]([c:7]2[cH:8][cH:9][c:10]([O:11][CH3:12])[cH:13][cH:14]2)[CH2:6]1,[CH3:1][c:2]1[cH:6][c:5](-[c:7]2[cH:8][cH:9][c:10]([O:11][CH3:12])[cH:13][cH:14]2)[cH:4][o:3]1>>[CH3:1][C@H:2]1[O:3][CH2:4][C@@H:5]([c:7]2[cH:8][cH:9][c:10]([O:11][CH3:12])[cH:13][cH:14]2)[CH2:6]1,"[2, 6, 5, 4]"
[CH3:1][c:2]1[cH:6][c:5](-[c:7]2[cH:8][c:9]3[c:10]([cH:11][cH:12][cH:13][cH:14]3)[cH:15][cH:16]2)[cH:4][o:3]1,[CH3:1][C@H:2]1[O:3][CH2:4][C@@H:5]([c:7]2[cH:8][c:9]3[c:10]([cH:11][cH:12][cH:13][cH:14]3)[cH:15][cH:16]2)[CH2:6]1,[CH3:1][c:2]1[cH:6][c:5](-[c:7]2[cH:8][c:9]3[c:10]([cH:11][cH:12][cH:13][cH:14]3)[cH:15][cH:16]2)[cH:4][o:3]1>>[CH3:1][C@H:2]1[O:3][CH2:4][C@@H:5]([c:7]2[cH:8][c:9]3[c:10]([cH:11][cH:12][cH:13][cH:14]3)[cH:15][cH:16]2)[CH2:6]1,"[2, 6, 5, 4]"
[CH3:1][c:2]1[cH:10][c:9]2[cH:8][cH:7][cH:6][cH:5][c:4]2[s:3]1,[CH3:1][C@H:2]1[S:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[CH2:10]1,[CH3:1][c:2]1[cH:10][c:9]2[cH:8][cH:7][cH:6][cH:5][c:4]2[s:3]1>>[CH3:1][C@H:2]1[S:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[CH2:10]1,"[2, 10]"
[CH3:1][CH2:2][c:3]1[cH:11][c:10]2[cH:9][cH:8][cH:7][cH:6][c:5]2[s:4]1,[CH3:1][CH2:2][C@H:3]1[S:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH2:11]1,[CH3:1][CH2:2][c:3]1[cH:11][c:10]2[cH:9][cH:8][cH:7][cH:6][c:5]2[s:4]1>>[CH3:1][CH2:2][C@H:3]1[S:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH2:11]1,"[3, 11]"
[CH3:1][CH2:2][CH2:3][c:4]1[cH:12][c:11]2[cH:10][cH:9][cH:8][cH:7][c:6]2[s:5]1,[CH3:1][CH2:2][CH2:3][C@H:4]1[S:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[CH2:12]1,[CH3:1][CH2:2][CH2:3][c:4]1[cH:12][c:11]2[cH:10][cH:9][cH:8][cH:7][c:6]2[s:5]1>>[CH3:1][CH2:2][CH2:3][C@H:4]1[S:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[CH2:12]1,"[4, 12]"
[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[cH:13][c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]2[s:6]1,[CH3:1][CH2:2][CH2:3][CH2:4][C@H:5]1[S:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13]1,[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[cH:13][c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]2[s:6]1>>[CH3:1][CH2:2][CH2:3][CH2:4][C@H:5]1[S:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13]1,"[5, 13]"
[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][C:10]([c:11]1[cH:19][c:18]2[cH:17][cH:16][cH:15][cH:14][c:13]2[s:12]1)=[O:20],[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][C:10]([C@H:11]1[S:12][c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]2[CH2:19]1)=[O:20],[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][C:10]([c:11]1[cH:19][c:18]2[cH:17][cH:16][cH:15][cH:14][c:13]2[s:12]1)=[O:20]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][C:10]([C@H:11]1[S:12][c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]2[CH2:19]1)=[O:20],"[11, 19]"
[CH3:1][CH:2]([CH3:3])[CH2:4][c:5]1[cH:13][c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]2[s:6]1,[CH3:1][CH:2]([CH3:3])[CH2:4][C@H:5]1[S:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13]1,[CH3:1][CH:2]([CH3:3])[CH2:4][c:5]1[cH:13][c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]2[s:6]1>>[CH3:1][CH:2]([CH3:3])[CH2:4][C@H:5]1[S:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13]1,"[5, 13]"
[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[s:16]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[S:16]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[s:16]2>>[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[S:16]2,"[7, 8]"
[CH3:1][c:2]1[cH:3][s:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]12,[CH3:1][CH:2]1[CH2:3][S:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]21,[CH3:1][c:2]1[cH:3][s:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]12>>[CH3:1][CH:2]1[CH2:3][S:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]21,"[2, 3]"
