substrate,product,mapped_reaction,hydrogenated_atoms
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[c:10]([Cl:11])[cH:12][cH:13][cH:14][cH:15]3)[cH:16][n:17]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[c:10]([Cl:11])[cH:12][cH:13][cH:14][cH:15]3)[cH:16][n:17]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[c:10]([Cl:11])[cH:12][cH:13][cH:14][cH:15]3)[cH:16][n:17]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[c:10]([Cl:11])[cH:12][cH:13][cH:14][cH:15]3)[cH:16][n:17]21,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][cH:11][c:12]([C:13]([F:14])([F:15])[F:16])[cH:17][cH:18]3)[cH:19][n:20]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][cH:11][c:12]([C:13]([F:14])([F:15])[F:16])[cH:17][cH:18]3)[cH:19][n:20]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][cH:11][c:12]([C:13]([F:14])([F:15])[F:16])[cH:17][cH:18]3)[cH:19][n:20]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][cH:11][c:12]([C:13]([F:14])([F:15])[F:16])[cH:17][cH:18]3)[cH:19][n:20]21,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][c:11]4[cH:12][cH:13][cH:14][cH:15][c:16]4[cH:17][cH:18]3)[cH:19][n:20]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][c:11]4[cH:12][cH:13][cH:14][cH:15][c:16]4[cH:17][cH:18]3)[cH:19][n:20]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][c:11]4[cH:12][cH:13][cH:14][cH:15][c:16]4[cH:17][cH:18]3)[cH:19][n:20]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][c:11]4[cH:12][cH:13][cH:14][cH:15][c:16]4[cH:17][cH:18]3)[cH:19][n:20]21,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][c:11]4[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][c:18]4[cH:19][cH:20]3)[cH:21][n:22]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][c:11]4[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][c:18]4[cH:19][cH:20]3)[cH:21][n:22]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][c:11]4[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][c:18]4[cH:19][cH:20]3)[cH:21][n:22]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][c:11]4[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][c:18]4[cH:19][cH:20]3)[cH:21][n:22]21,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8]([C:9]([O:10][CH2:11][CH3:12])=[O:13])[cH:14][n:15]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8]([C:9]([O:10][CH2:11][CH3:12])=[O:13])[cH:14][n:15]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8]([C:9]([O:10][CH2:11][CH3:12])=[O:13])[cH:14][n:15]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8]([C:9]([O:10][CH2:11][CH3:12])=[O:13])[cH:14][n:15]21,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][n:14]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][n:14]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][n:14]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][n:14]21,"[2, 3, 4, 5]"
[CH3:1][Si:2]([O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][c:9]2[n:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[cH:18][n:19]12)([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24],[CH3:1][Si:2]([O:3][CH2:4][C@H:5]1[CH2:6][CH2:7][CH2:8][c:9]2[n:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[cH:18][n:19]21)([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24],[CH3:1][Si:2]([O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][c:9]2[n:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[cH:18][n:19]12)([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24]>>[CH3:1][Si:2]([O:3][CH2:4][C@H:5]1[CH2:6][CH2:7][CH2:8][c:9]2[n:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[cH:18][n:19]21)([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24],"[5, 6, 7, 8]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[n:16]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[n:16]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[n:16]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[n:16]21,"[2, 3, 4, 5]"
[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][n:8][cH:9][n:10]21,[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][n:8][cH:9][n:10]21,"[2, 3, 4, 5]"
[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][n:8][cH:9][n:10]21,[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][n:8][cH:9][n:10]21,"[2, 3, 4, 5]"
